Player,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Best Bowling In An Innings,Bowling Avg,Economy Rate,Bowling Strike Rate,Four Wickets In An Innings,Five Wickets In An Innings,200+ Wickets Taken,<35.00 Bowling Avg,<4.00 Economy Rate,<40.00 Bowling Strike Rate
PJ Cummins (2011-2018),42,2184,1933,65,Apr-24,29.73,5.31,33.6,4,0,0,1,0,1
NM Hauritz (2002-2011),56,2724,2152,63,Apr-29,34.15,4.74,43.2,2,0,0,1,0,0
BA Reid (1986-1992),61,3250,2203,63,May-53,34.96,4.06,51.5,0,1,0,1,0,0
DE Bollinger (2009-2011),39,1942,1482,62,May-35,23.9,4.57,31.3,3,2,0,1,0,1
SW Tait (2007-2011),34,1688,1461,62,Apr-39,23.56,5.19,27.2,2,0,0,1,0,1
MJ Clarke (2003-2015),106,2585,2146,57,May-35,37.64,4.98,45.3,1,1,0,0,0,0
GRJ Matthews (1984-1993),54,2808,2004,57,Mar-27,35.15,4.28,49.2,0,0,0,0,0,0
XJ Doherty (2010-2015),56,2792,2224,55,Apr-28,40.43,4.77,50.7,3,0,0,0,0,0
JR Thomson (1975-1985),50,2696,1942,55,Apr-67,35.3,4.32,49,1,0,0,0,0,0
SR Clark (2005-2009),38,1829,1477,53,Apr-54,27.86,4.84,34.5,2,0,0,1,0,1
LS Pascoe (1977-1982),28,1568,1066,53,May-30,20.11,4.07,29.5,4,1,0,1,0,1
DS Lehmann (1996-2005),62,1793,1445,52,04-Jul,27.78,4.83,34.4,1,0,0,1,0,1
TM Moody (1987-1999),66,2797,2014,52,Mar-25,38.73,4.32,53.7,0,0,0,0,0,0
S Lee (1995-2001),43,1706,1245,48,May-33,25.93,4.37,35.5,1,1,0,1,0,1
MR Whitney (1983-1993),38,2106,1249,46,Apr-34,27.15,3.55,45.7,2,0,0,1,1,0
GJ Maxwell (2012-2018),66,1978,1844,45,Apr-46,40.97,5.59,43.9,2,0,0,0,0,0
SP Davis (1986-1988),39,2016,1133,44,03-Oct,25.75,3.37,45.8,0,0,0,1,1,0
RJ Harris (2009-2012),20,1031,832,44,May-19,18.9,4.84,23.4,0,3,0,1,0,1
MR Marsh (2011-2018),50,1700,1564,44,May-33,35.54,5.52,38.6,1,1,0,0,0,1
JW Hastings (2010-2017),29,1486,1256,42,Jun-45,29.9,5.07,35.3,1,1,0,1,0,1
A Zampa (2016-2018),33,1630,1548,42,Mar-16,36.85,5.69,38.8,0,0,0,0,0,1
TBA May (1987-1995),46,2504,1772,39,Mar-19,45.43,4.24,64.2,0,0,0,0,0,0
NM Coulter-Nile (2013-2018),22,1130,1011,38,Apr-48,26.6,5.36,29.7,1,0,0,1,0,1
MG Hughes (1988-1993),33,1639,1115,38,Apr-44,29.34,4.08,43.1,1,0,0,1,0,0
MG Bevan (1994-2004),67,1966,1655,36,Mar-36,45.97,5.05,54.6,0,0,0,0,0,0
AIC Dodemaide (1988-1993),24,1327,753,36,May-21,20.91,3.4,36.8,1,1,0,1,1,1
BA Williams (2002-2004),24,1203,814,35,May-22,23.25,4.05,34.3,1,2,0,1,0,1
AC Dale (1997-2000),30,1596,979,32,Mar-18,30.59,3.68,49.8,0,0,0,1,1,0
BW Hilfenhaus (2007-2012),25,1216,1075,29,May-33,37.06,5.3,41.9,0,1,0,0,0,0
KW Richardson (2013-2018),18,935,854,27,May-68,31.62,5.48,34.6,0,1,0,0,0,0
SPD Smith (2010-2018),36,1046,931,27,Mar-16,34.48,5.34,38.7,0,0,0,1,0,1
TG Hogan (1983-1984),15,917,574,23,Apr-33,24.95,3.75,39.8,1,0,0,0,0,0
BP Julian (1993-1999),25,1146,997,22,Mar-40,45.31,5.21,52,0,0,0,0,0,0
DT Christian (2012-2014),19,727,595,20,May-31,29.75,4.91,36.3,0,1,0,0,0,0
MHN Walker (1974-1981),17,1006,546,20,Apr-19,27.3,3.25,50.3,1,0,0,1,1,0
TM Chappell (1980-1983),14,736,538,19,Mar-31,28.31,4.38,38.7,0,0,0,0,0,0
JN Maguire (1983-1984),20,1009,769,19,Mar-61,40.47,4.57,53.1,0,0,0,0,0,0
GD Campbell (1989-1990),12,613,404,18,Mar-17,22.44,3.95,34,0,0,0,0,0,0
DR Gilbert (1986-1986),14,684,552,18,May-46,30.66,4.84,38,0,1,0,0,0,0
DJ Hussey (2008-2013),39,802,698,18,Apr-21,38.77,5.22,44.5,2,0,0,0,0,0
NM Lyon (2012-2018),15,822,662,18,Apr-44,36.77,4.83,45.6,1,0,0,0,0,0
MP Stoinis (2015-2018),19,774,781,18,Mar-16,43.38,6.05,43,0,0,0,0,0,0
KC Wessels (1983-1985),22,737,655,18,Feb-16,36.38,5.33,40.9,0,0,0,0,0,0
SM Boland (2016-2016),13,716,725,16,Mar-67,45.31,6.07,44.7,0,0,0,0,0,0
GJ Gilmour (1974-1975),5,320,165,16,Jun-14,10.31,3.09,20,0,2,0,0,0,0
JL Pattinson (2011-2015),15,727,681,16,Apr-51,42.56,5.62,45.4,1,0,0,0,0,0
G Dymock (1974-1980),14,806,412,15,Feb-21,27.46,3.06,53.7,0,0,0,0,0,0
KH MacLeay (1983-1987),16,857,626,15,Jun-39,41.73,4.38,57.1,0,1,0,0,0,0
PM Siddle (2009-2010),16,751,581,15,Mar-55,38.73,4.64,50,0,0,0,0,0,0
GS Blewett (1995-1999),24,749,646,14,02-Jun,46.14,5.17,53.5,0,0,0,0,0,0
GJ Cosier (1975-1979),8,409,248,14,May-18,17.71,3.63,29.2,0,1,0,0,0,0
P Wilson (1997-1998),11,562,450,13,Mar-39,34.61,4.8,43.2,0,0,0,0,0,0
TM Head (2016-2018),26,765,737,12,Feb-22,61.41,5.78,63.7,0,0,0,0,0,0
AG Hurst (1975-1979),7,402,203,12,May-21,16.91,3.02,33.5,0,1,0,0,0,0
SG Law (1994-1999),25,807,635,12,Feb-22,52.91,4.72,67.2,0,0,0,0,0,0
RJ McCurdy (1985-1985),11,515,375,12,Mar-19,31.25,4.36,42.9,0,0,0,0,0,0
DR Martyn (1992-2006),31,794,704,12,Feb-21,58.66,5.31,66.1,0,0,0,0,0,0
AJ Tye (2018-2018),7,387,392,12,May-46,32.66,6.07,32.2,0,1,0,0,0,0
CL White (2005-2018),19,331,351,12,03-May,29.25,6.36,27.5,0,0,0,0,0,0
AA Mallett (1971-1975),9,502,341,11,Mar-34,31,4.07,45.6,0,0,0,0,0,0
MF Malone (1977-1982),10,612,315,11,02-Sep,28.63,3.08,55.6,0,0,0,0,0,0
AC Agar (2015-2018),9,432,414,8,Feb-48,51.75,5.75,54,0,0,0,0,0,0
SF Graf (1980-1981),10,522,345,8,Feb-23,43.12,3.96,65.2,0,0,0,0,0,0
TJ Laughlin (1978-1979),6,308,224,8,Mar-54,28,4.36,38.5,0,0,0,0,0,0
GR Robertson (1994-1998),13,597,430,8,Mar-29,53.75,4.32,74.6,0,0,0,0,0,0
AM Stuart (1997-1997),3,180,109,8,May-26,13.62,3.63,22.5,0,1,0,0,0,0
MC Henriques (2009-2017),10,354,306,7,Mar-32,43.71,5.18,50.5,0,0,0,0,0,0
JJ Krejza (2011-2011),8,425,331,7,Feb-28,47.28,4.67,60.7,0,0,0,0,0,0
ML Lewis (2005-2006),7,341,391,7,Mar-56,55.85,6.87,48.7,0,0,0,0,0,0
JA Richardson (2018-2018),4,222,271,7,Mar-92,38.71,7.32,31.7,0,0,0,0,0,0
B Stanlake (2017-2018),6,294,275,7,Mar-35,39.28,5.61,42,0,0,0,0,0,0
CP Tremain (2016-2016),4,240,255,7,Mar-64,36.42,6.37,34.2,0,0,0,0,0,0
B Yardley (1978-1983),5,198,130,7,Mar-28,18.57,3.93,28.2,0,0,0,0,0,0
SCG MacGill (2000-2000),3,180,105,6,Apr-19,17.5,3.5,30,1,0,0,0,0,0
AC Voges (2007-2013),15,301,276,6,01-Mar,46,5.5,50.1,0,0,0,0,0,0
IW Callen (1978-1982),4,180,148,5,Mar-24,29.6,4.93,36,0,0,0,0,0,0
BCJ Cutting (2013-2014),4,216,158,5,Mar-45,31.6,4.38,43.2,0,0,0,0,0,0
J Angel (1994-1995),3,162,113,4,Feb-47,28.25,4.18,40.5,0,0,0,0,0,0
GR Beard (1981-1981),2,112,70,4,Feb-20,17.5,3.75,28,0,0,0,0,0,0
MJ Bennett (1984-1985),8,408,275,4,Feb-27,68.75,4.04,102,0,0,0,0,0,0
B Laughlin (2009-2009),5,224,219,4,Jan-28,54.75,5.86,56,0,0,0,0,0,0
KD Walters (1971-1981),10,314,273,4,Feb-24,68.25,5.21,78.5,0,0,0,0,0,0
RJ Bright (1974-1986),10,462,350,3,Jan-28,116.66,4.54,154,0,0,0,0,0,0
WM Clark (1978-1978),2,100,61,3,Feb-39,20.33,3.66,33.3,0,0,0,0,0,0
Fawad Ahmed (2013-2013),3,144,145,3,Jan-39,48.33,6.04,48,0,0,0,0,0,0
B Geeves (2008-2009),2,90,78,3,02-Nov,26,5.2,30,0,0,0,0,0,0
DM Jones (1984-1994),8,106,81,3,Feb-34,27,4.58,35.3,0,0,0,0,0,0
RAL Massie (1972-1972),3,183,129,3,Feb-35,43,4.22,61,0,0,0,0,0,0
JM Mennie (2016-2016),2,120,131,3,Mar-49,43.66,6.55,40,0,0,0,0,0,0
RT Ponting (1995-2012),5,150,104,3,01-Dec,34.66,4.16,50,0,0,0,0,0,0
GD Porter (1979-1979),2,108,33,3,Feb-13,11,1.83,36,0,0,0,0,0,0
GS Sandhu (2015-2015),2,120,107,3,Feb-49,35.66,5.35,40,0,0,0,0,0,0
KR Stackpole (1971-1974),2,77,54,3,Mar-40,18,4.2,25.6,0,0,0,0,0,0
GN Yallop (1978-1984),4,138,119,3,Feb-28,39.66,5.17,46,0,0,0,0,0,0
PH Carlson (1979-1979),3,168,70,2,Jan-21,35,2.5,84,0,0,0,0,0,0
IM Chappell (1971-1980),2,42,23,2,Feb-14,11.5,3.28,21,0,0,0,0,0,0
DJ Cullen (2006-2006),5,213,147,2,Feb-25,73.5,4.14,106.5,0,0,0,0,0,0
BR Dorey (2006-2006),4,162,146,2,01-Dec,73,5.4,81,0,0,0,0,0,0
AJ Finch (2013-2018),14,158,137,2,01-Feb,68.5,5.2,79,0,0,0,0,0,0
SM Harwood (2009-2009),1,60,57,2,Feb-57,28.5,5.7,30,0,0,0,0,0,0
RG Holland (1985-1985),2,126,99,2,Feb-49,49.5,4.71,63,0,0,0,0,0,0
MEK Hussey (2004-2012),13,240,235,2,Jan-22,117.5,5.87,120,0,0,0,0,0,0
GD McKenzie (1971-1971),1,60,22,2,Feb-22,11,2.2,30,0,0,0,0,0,0
MG Neser (2018-2018),2,100,120,2,Feb-46,60,7.2,50,0,0,0,0,0,0
KJ O'Keeffe (1977-1977),2,132,79,2,Jan-36,39.5,3.59,66,0,0,0,0,0,0
RB Simpson (1978-1978),2,102,95,2,Feb-30,47.5,5.58,51,0,0,0,0,0,0
GD Watson (1972-1972),1,48,28,2,Feb-28,14,3.5,24,0,0,0,0,0,0
SA Abbott (2014-2014),1,30,25,1,Jan-25,25,5,30,0,0,0,0,0,0
MJ Cosgrove (2006-2006),2,30,13,1,01-Jan,13,2.6,30,0,0,0,0,0,0
JR Hammond (1972-1972),1,54,41,1,Jan-41,41,4.55,54,0,0,0,0,0,0
BJ Hodge (2005-2007),3,66,51,1,Jan-17,51,4.63,66,0,0,0,0,0,0
DW Hookes (1977-1986),3,29,28,1,01-Feb,28,5.79,29,0,0,0,0,0,0
DP Nannes (2009-2009),1,42,20,1,Jan-20,20,2.85,42,0,0,0,0,0,0
AA Noffke (2008-2008),1,54,46,1,Jan-46,46,5.11,54,0,0,0,0,0,0
JS Paris (2016-2016),2,96,93,1,Jan-40,93,5.81,96,0,0,0,0,0,0
AL Thomson (1971-1971),1,64,22,1,Jan-22,22,2.06,64,0,0,0,0,0,0
DJ Worrall (2016-2016),3,158,171,1,Jan-43,171,6.49,158,0,0,0,0,0,0
BE Young (1998-1999),5,234,251,1,Jan-26,251,6.43,234,0,0,0,0,0,0
AK Zesers (1987-1987),2,90,74,1,Jan-37,74,4.93,90,0,0,0,0,0,0
DC Boon (1984-1995),7,82,86,0,-,-,6.29,-,0,0,0,0,0,0
DJ Colley (1972-1972),1,66,72,0,-,-,6.54,-,0,0,0,0,0,0
AN Connolly (1971-1971),1,64,62,0,-,-,5.81,-,0,0,0,0,0,0
WJ Edwards (1975-1975),1,1,0,0,-,-,0,-,0,0,0,0,0,0
ML Hayden (1993-2008),1,6,18,0,-,-,18,-,0,0,0,0,0,0
KJ Hughes (1977-1985),1,1,4,0,-,-,24,-,0,0,0,0,0,0
TJ Jenner (1975-1975),1,64,28,0,-,-,2.62,-,0,0,0,0,0,0
GR Marsh (1986-1992),1,6,4,0,-,-,4,-,0,0,0,0,0,0
MJ North (2009-2009),1,18,16,0,-,-,5.33,-,0,0,0,0,0,0
DJM Short (2018-2018),3,42,59,0,-,-,8.42,-,0,0,0,0,0,0
MJ Slater (1993-1997),2,12,11,0,-,-,5.5,-,0,0,0,0,0,0
SB Smith (1983-1985),2,7,5,0,-,-,4.28,-,0,0,0,0,0,0
GS Trimble (1986-1986),1,24,32,0,-,-,8,-,0,0,0,0,0,0
DA Warner (2009-2018),1,6,8,0,-,-,8,-,0,0,0,0,0,0
JM Wiener (1979-1980),2,24,34,0,-,-,8.5,-,0,0,0,0,0,0
GJ Bailey (2012-2016),-,-,-,-,-,-,-,-,-,-,0,0,0,0
GA Bishop (1987-1987),-,-,-,-,-,-,-,-,-,-,0,0,0,0
JA Burns (2015-2015),-,-,-,-,-,-,-,-,-,-,0,0,0,0
RJ Campbell (2002-2002),-,-,-,-,-,-,-,-,-,-,0,0,0,0
AT Carey (2018-2018),-,-,-,-,-,-,-,-,-,-,0,0,0,0
HWR Cartwright (2017-2017),-,-,-,-,-,-,-,-,-,-,0,0,0,0
WM Darling (1978-1982),-,-,-,-,-,-,-,-,-,-,0,0,0,0
IC Davis (1974-1977),-,-,-,-,-,-,-,-,-,-,0,0,0,0
MJ Di Venuto (1997-1997),-,-,-,-,-,-,-,-,-,-,0,0,0,0
GC Dyer (1986-1988),-,-,-,-,-,-,-,-,-,-,0,0,0,0
J Dyson (1980-1983),-,-,-,-,-,-,-,-,-,-,0,0,0,0
R Edwards (1972-1975),-,-,-,-,-,-,-,-,-,-,0,0,0,0
MTG Elliott (1997-1997),-,-,-,-,-,-,-,-,-,-,0,0,0,0
PA Emery (1994-1994),-,-,-,-,-,-,-,-,-,-,0,0,0,0
CJ Ferguson (2009-2011),-,-,-,-,-,-,-,-,-,-,0,0,0,0
PJ Forrest (2012-2012),-,-,-,-,-,-,-,-,-,-,0,0,0,0
AC Gilchrist (1996-2008),-,-,-,-,-,-,-,-,-,-,0,0,0,0
BJ Haddin (2001-2015),-,-,-,-,-,-,-,-,-,-,0,0,0,0
PSP Handscomb (2017-2017),-,-,-,-,-,-,-,-,-,-,0,0,0,0
IA Healy (1988-1997),-,-,-,-,-,-,-,-,-,-,0,0,0,0
SD Heazlett (2017-2017),-,-,-,-,-,-,-,-,-,-,0,0,0,0
AMJ Hilditch (1979-1985),-,-,-,-,-,-,-,-,-,-,0,0,0,0
PJ Hughes (2013-2014),-,-,-,-,-,-,-,-,-,-,0,0,0,0
PA Jaques (2006-2007),-,-,-,-,-,-,-,-,-,-,0,0,0,0
SM Katich (2001-2006),-,-,-,-,-,-,-,-,-,-,0,0,0,0
MF Kent (1981-1981),-,-,-,-,-,-,-,-,-,-,0,0,0,0
RB Kerr (1985-1985),-,-,-,-,-,-,-,-,-,-,0,0,0,0
UT Khawaja (2013-2017),-,-,-,-,-,-,-,-,-,-,0,0,0,0
BM Laird (1979-1982),-,-,-,-,-,-,-,-,-,-,0,0,0,0
JL Langer (1994-1997),-,-,-,-,-,-,-,-,-,-,0,0,0,0
WM Lawry (1971-1971),-,-,-,-,-,-,-,-,-,-,0,0,0,0
CA Lynn (2017-2018),-,-,-,-,-,-,-,-,-,-,0,0,0,0
RB McCosker (1975-1982),-,-,-,-,-,-,-,-,-,-,0,0,0,0
JA Maclean (1979-1979),-,-,-,-,-,-,-,-,-,-,0,0,0,0
JP Maher (1998-2003),-,-,-,-,-,-,-,-,-,-,0,0,0,0
GA Manou (2009-2009),-,-,-,-,-,-,-,-,-,-,0,0,0,0
RW Marsh (1971-1984),-,-,-,-,-,-,-,-,-,-,0,0,0,0
SE Marsh (2008-2018),-,-,-,-,-,-,-,-,-,-,0,0,0,0
JK Moss (1979-1979),-,-,-,-,-,-,-,-,-,-,0,0,0,0
TD Paine (2009-2018),-,-,-,-,-,-,-,-,-,-,0,0,0,0
WB Phillips (1982-1986),-,-,-,-,-,-,-,-,-,-,0,0,0,0
IR Redpath (1971-1975),-,-,-,-,-,-,-,-,-,-,0,0,0,0
GM Ritchie (1982-1987),-,-,-,-,-,-,-,-,-,-,0,0,0,0
SJ Rixon (1978-1985),-,-,-,-,-,-,-,-,-,-,0,0,0,0
RD Robinson (1977-1977),-,-,-,-,-,-,-,-,-,-,0,0,0,0
L Ronchi (2008-2008),-,-,-,-,-,-,-,-,-,-,0,0,0,0
CS Serjeant (1977-1978),-,-,-,-,-,-,-,-,-,-,0,0,0,0
AP Sheahan (1972-1972),-,-,-,-,-,-,-,-,-,-,0,0,0,0
JD Siddons (1988-1988),-,-,-,-,-,-,-,-,-,-,0,0,0,0
MA Taylor (1989-1997),-,-,-,-,-,-,-,-,-,-,0,0,0,0
PM Toohey (1978-1979),-,-,-,-,-,-,-,-,-,-,0,0,0,0
A Turner (1975-1975),-,-,-,-,-,-,-,-,-,-,0,0,0,0
MRJ Veletta (1987-1989),-,-,-,-,-,-,-,-,-,-,0,0,0,0
MS Wade (2012-2017),-,-,-,-,-,-,-,-,-,-,0,0,0,0
DM Wellham (1981-1987),-,-,-,-,-,-,-,-,-,-,0,0,0,0
DF Whatmore (1980-1980),-,-,-,-,-,-,-,-,-,-,0,0,0,0
GM Wood (1978-1989),-,-,-,-,-,-,-,-,-,-,0,0,0,0
AJ Woodcock (1974-1974),-,-,-,-,-,-,-,-,-,-,0,0,0,0
RD Woolley (1983-1983),-,-,-,-,-,-,-,-,-,-,0,0,0,0
KJ Wright (1979-1979),-,-,-,-,-,-,-,-,-,-,0,0,0,0
TJ Zoehrer (1986-1994),-,-,-,-,-,-,-,-,-,-,0,0,0,0
SM Pollock (1996-2008),291,154284,9409,387,Jun-35,24.31,3.65,39.8,12,5,1,1,1,1
AA Donald (1991-2003),162,8559,5926,272,Jun-23,21.78,4.15,31.4,11,2,1,1,0,1
JH Kallis (1996-2014),279,10638,8568,269,May-30,31.85,4.83,39.5,2,2,1,1,0,1
M Ntini (1998-2009),170,8643,6501,265,Jun-22,24.53,4.51,32.6,8,4,1,1,0,1
L Klusener (1996-2004),164,73344,5751,192,Jun-49,29.95,4.7,38.2,1,6,0,1,0,1
DW Steyn (2006-2018),118,60138,4893,190,Jun-39,25.75,4.88,31.6,4,3,0,1,0,1
M Morkel (2007-2018),111,5580,4595,180,May-21,25.52,4.94,31,7,2,0,1,0,1
Imran Tahir (2011-2018),89,46998,3675,151,Jul-45,24.33,4.69,31.1,6,3,0,1,0,1
WJ Cronje (1992-2000),153,5355,3966,114,May-32,34.78,4.44,46.9,1,1,0,1,0,0
A Nel (2001-2008),76,37998,2935,106,May-45,27.68,4.63,35.8,3,1,0,1,0,1
CK Langeveldt (2001-2010),71,34878,2962,100,May-39,29.62,5.09,34.8,1,2,0,1,0,1
N Boje (1995-2005),106,4455,3351,95,May-21,35.27,4.51,46.9,2,1,0,0,0,0
PS de Villiers (1992-1997),82,4422,2636,95,Apr-27,27.74,3.57,46.5,2,0,0,1,1,0
AJ Hall (1999-2007),78,3339,2515,95,May-18,26.47,4.51,35.1,3,1,0,1,0,1
WD Parnell (2009-2017),61,29106,2738,94,May-48,29.12,5.64,30.9,3,2,0,1,0,1
LL Tsotsobe (2009-2013),60,2964,2347,94,Apr-22,24.96,4.75,31.5,7,0,0,1,0,1
K Rabada (2015-2018),56,29106,2428,93,Jun-16,26.1,5,31.3,6,1,0,1,0,1
CR Matthews (1991-1997),55,30018,1975,79,04-Oct,25,3.94,38,3,0,0,1,1,1
R McLaren (2009-2014),51,24018,2102,77,Apr-19,27.29,5.24,31.2,5,0,0,1,0,1
RJ Peterson (2002-2014),74,32772,2680,75,04-Dec,35.73,4.9,43.7,3,0,0,0,0,0
J Botha (2005-2012),73,37026,2816,72,Apr-19,39.11,4.56,51.4,1,0,0,0,0,0
PL Symcox (1993-1999),80,39906,2762,72,Apr-28,38.36,4.15,55.4,1,0,0,0,0,0
BM McMillan (1991-1998),75,3621,2589,70,Apr-32,36.98,4.28,51.7,1,0,0,0,0,0
JP Duminy (2004-2018),129,34158,3045,67,Apr-16,45.44,5.34,51,1,0,0,0,0,0
R Telemachus (1998-2006),37,19164,1565,56,Apr-43,27.94,4.89,34.2,1,0,0,1,0,1
JA Morkel (2004-2012),50,19758,1786,47,Apr-29,38,5.42,42,2,0,0,0,0,0
S Elworthy (1998-2002),37,17004,1235,44,Mar-17,28.06,4.35,38.6,0,0,0,1,0,1
RP Snell (1991-1996),42,20946,1574,44,May-40,35.77,4.5,47.6,2,1,0,0,0,0
AL Phehlukwayo (2016-2018),34,13824,1325,43,Apr-40,30.81,5.74,32.1,2,0,0,1,0,1
VD Philander (2007-2015),28,12786,986,41,04-Dec,24.04,4.62,31.1,2,0,0,1,0,1
CH Morris (2013-2018),33,1512,1415,35,Apr-31,40.42,5.61,43.2,2,0,0,0,0,0
KJ Abbott (2013-2016),27,13026,1051,34,Apr-21,30.91,4.83,38.3,2,0,0,1,0,1
EO Simons (1994-1995),23,1212,810,33,Apr-42,24.54,4,36.7,1,0,0,1,0,1
PR Adams (1996-2003),23,1107,815,29,Mar-26,28.1,4.4,38.2,0,0,0,1,0,1
JM Kemp (2001-2007),44,11706,915,29,Mar-20,31.55,4.68,40.3,0,0,0,1,0,0
L Ngidi (2018-2018),13,6444,599,26,Apr-51,23.03,5.56,24.8,2,0,0,0,0,0
AM Phangiso (2013-2016),21,1083,829,26,Mar-40,31.88,4.58,41.7,0,0,0,1,0,0
DN Crookes (1994-2000),30,12198,1011,25,Mar-30,40.44,4.96,48.8,0,0,0,0,0,0
D Pretorius (2016-2018),14,6852,554,22,03-May,25.18,4.84,31.1,0,0,0,0,0,0
MW Pringle (1992-1994),17,870,604,22,04-Nov,27.45,4.16,39.5,1,0,0,0,0,0
AC Dawson (1998-2004),19,9006,715,21,Apr-49,34.04,4.76,42.9,1,0,0,0,0,0
M Hayward (1998-2002),21,9918,858,21,Apr-31,40.85,5.18,47.2,1,0,0,0,0,0
AP Kuiper (1991-1996),19,588,518,18,Mar-33,28.77,5.28,32.6,0,0,0,0,0,0
GC Smith (2002-2013),43,1026,951,18,Mar-30,52.83,5.56,57,0,0,0,0,0,0
RE van der Merwe (2009-2010),13,7038,561,17,Mar-27,33,4.77,41.4,0,0,0,0,0,0
F Behardien (2013-2018),35,7464,719,14,Mar-19,51.35,5.76,53.4,0,0,0,0,0,0
T Shamsi (2016-2018),11,5718,488,13,Apr-33,37.53,5.1,44,1,0,0,0,0,0
JJ van der Wath (2006-2007),10,5244,551,13,Feb-21,42.38,6.28,40.4,0,0,0,0,0,0
RK Kleinveldt (2013-2013),10,5118,448,12,Apr-22,37.33,5.23,42.7,1,0,0,0,0,0
J Theron (2010-2010),4,1932,173,12,May-44,14.41,5.35,16.1,0,1,0,0,0,0
M Zondeki (2002-2008),11,504,440,11,Feb-40,40,5.23,45.8,0,0,0,0,0,0
DJ Callaghan (1992-2000),19,444,365,10,Mar-32,36.5,4.93,44.4,0,0,0,0,0,0
M de Lange (2012-2016),4,207,198,10,Apr-46,19.8,5.68,20.9,1,0,0,0,0,0
JL Ontong (2001-2012),16,5364,396,9,Mar-30,44,4.41,59.7,0,0,0,0,0,0
TG Shaw (1991-1994),9,504,298,9,Feb-19,33.11,3.54,56,0,0,0,0,0,0
D Wiese (2015-2016),6,294,316,9,Mar-50,35.11,6.44,32.6,0,0,0,0,0,0
HS Williams (1999-2000),7,327,228,9,Mar-38,25.33,4.15,36.5,0,0,0,0,0,0
RE Bryson (1997-1997),7,378,323,7,Feb-34,46.14,5.12,54,0,0,0,0,0,0
AB de Villiers (2005-2018),8,180,180,7,Feb-15,25.71,6,25.7,0,0,0,0,0,0
CW Henderson (2001-2001),4,2166,132,7,Apr-17,18.85,3.64,31,1,0,0,0,0,0
PWA Mulder (2017-2018),7,264,255,7,Feb-59,36.42,5.79,37.7,0,0,0,0,0,0
PN Kirsten (1991-1994),8,1818,152,6,Mar-31,25.33,4.98,30.5,0,0,0,0,0,0
KA Maharaj (2017-2018),4,1866,166,6,Mar-25,27.66,5.32,31.1,0,0,0,0,0,0
MJR Rindel (1994-1999),12,270,242,6,Feb-15,40.33,5.37,45,0,0,0,0,0,0
DJ Cullinan (1993-2000),9,174,124,5,Feb-30,24.8,4.27,34.8,0,0,0,0,0,0
DB Rundle (1994-1994),2,96,95,5,Apr-42,19,5.93,19.2,1,0,0,0,0,0
DM Benkenstein (1998-2002),4,63,44,4,03-May,11,4.06,16.2,0,0,0,0,0,0
D Paterson (2017-2017),3,159,180,4,Mar-44,45,6.7,40.2,0,0,0,0,0,0
DJ Terbrugge (2000-2000),4,126,105,4,Apr-20,26.25,5,31.5,1,0,0,0,0,0
AM Bacher (1997-2005),3,108,64,3,Feb-36,21.33,3.55,36,0,0,0,0,0,0
PL Harris (2008-2008),3,180,83,3,Feb-30,27.66,2.76,60,0,0,0,0,0,0
SD Jack (1994-1995),2,108,86,3,Feb-41,28.66,4.77,36,0,0,0,0,0,0
MS Tshabalala (2007-2007),4,150,151,3,Jan-30,50.33,6.04,50,0,0,0,0,0,0
F du Plessis (2011-2018),11,192,189,2,01-Aug,94.5,5.9,96,0,0,0,0,0,0
CE Eksteen (1991-1994),6,222,181,2,Jan-26,90.5,4.89,111,0,0,0,0,0,0
D Elgar (2012-2018),4,96,67,2,01-Nov,33.5,4.18,48,0,0,0,0,0,0
O Henry (1992-1992),3,147,125,2,Jan-31,62.5,5.03,74.5,0,0,0,0,0,0
GJP Kruger (2006-2006),3,138,139,2,Jan-43,69.5,6.04,69,0,0,0,0,0,0
J Louw (2008-2008),3,156,148,2,Jan-45,74,5.69,78,0,0,0,0,0,0
AK Markram (2017-2018),3,48,56,2,Feb-18,28,7,24,0,0,0,0,0,0
PV Mpitsang (1999-1999),2,60,63,2,Feb-49,31.5,6.3,30,0,0,0,0,0,0
CEB Rice (1991-1991),3,138,114,2,Jan-46,57,4.95,69,0,0,0,0,0,0
PC Strydom (2000-2000),7,252,206,2,Jan-18,103,4.9,126,0,0,0,0,0,0
M van Jaarsveld (2002-2004),2,306,18,2,1/0,9,3.48,15.5,0,0,0,0,0,0
CM Willoughby (2000-2003),3,168,148,2,Feb-39,74,5.28,84,0,0,0,0,0,0
CJ Dala (2018-2018),2,102,121,1,Jan-57,121,7.11,102,0,0,0,0,0,0
RR Rossouw (2014-2016),3,438,44,1,Jan-17,44,5.86,45,0,0,0,0,0,0
BN Schultz (1992-1992),1,54,35,1,Jan-35,35,3.88,54,0,0,0,0,0,0
M Shezi (2014-2014),1,36,8,1,01-Aug,8,1.33,36,0,0,0,0,0,0
S Abrahams (2000-2000),1,60,40,0,-,-,4,-,0,0,0,0,0,0
GH Bodi (2007-2007),1,6,8,0,-,-,8,-,0,0,0,0,0,0
T Bosch (1992-1992),2,498,66,0,-,-,7.76,-,0,0,0,0,0,0
AC Hudson (1991-1997),1,6,3,0,-,-,3,-,0,0,0,0,0,0
CA Ingram (2010-2013),1,6,17,0,-,-,17,-,0,0,0,0,0,0
